Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
210480 Grajaú;188;188;188;188;188;228;213;213;213;213
210490 Guimarães;36;36;36;36;36;36;36;36;36;36
210500 Humberto de Campos;30;30;30;30;30;30;30;30;30;30
210510 Icatu;34;34;34;34;34;34;34;34;34;34
210515 Igarapé do Meio;37;37;37;37;37;37;37;37;37;37
210520 Igarapé Grande;37;37;37;37;37;37;37;37;37;37
210530 Imperatriz;801;801;801;859;879;879;879;875;875;875
210535 Itaipava do Grajaú;25;25;25;25;25;25;25;25;25;25
210540 Itapecuru Mirim;69;69;69;69;69;69;72;72;72;72
210542 Itinga do Maranhão;76;76;76;76;76;76;76;76;76;76
210545 Jatobá;16;16;16;16;16;16;16;16;16;16
210547 Jenipapo dos Vieiras;17;17;17;17;17;17;17;17;17;17
210550 João Lisboa;62;62;62;62;62;62;62;62;62;62
210560 Joselândia;22;22;22;22;22;22;22;22;22;22
210565 Junco do Maranhão;3;3;3;3;3;3;3;3;3;3
210570 Lago da Pedra;144;144;144;145;145;170;170;170;170;170
210580 Lago do Junco;20;20;20;20;20;20;20;20;20;20
210594 Lago dos Rodrigues;20;20;-;-;-;-;-;-;-;-
210590 Lago Verde;45;45;45;45;45;45;45;45;45;45
210592 Lagoa do Mato;22;22;22;22;22;22;22;22;22;22
210596 Lagoa Grande do Maranhão;19;19;19;19;19;19;19;19;19;19
210600 Lima Campos;38;38;38;38;38;38;38;38;38;38
210610 Loreto;20;20;20;20;20;20;20;20;20;20
210620 Luís Domingues;9;9;9;9;9;9;9;9;9;9
210630 Magalhães de Almeida;20;20;20;20;20;20;20;20;20;20
210632 Maracaçumé;11;11;11;11;11;11;11;11;11;11
210637 Maranhãozinho;18;18;18;18;18;18;18;18;18;18
210640 Mata Roma;23;23;23;23;23;23;23;23;23;23
210650 Matinha;17;17;17;17;17;17;17;17;17;17
210660 Matões;50;50;50;50;50;50;50;50;50;50
210667 Milagres do Maranhão;9;9;9;9;9;9;9;9;9;9
210670 Mirador;20;20;20;20;20;20;20;20;20;20
210675 Miranda do Norte;52;52;52;52;52;52;52;52;52;52
210680 Mirinzal;22;22;22;22;22;22;22;22;22;22
210690 Monção;52;52;52;52;52;52;52;52;44;44
210700 Montes Altos;24;24;24;24;24;24;24;24;24;24
